Date,Sensor ID,Location,Latitude,Longitude,CO2,PM2.5,PM10,O3,NO2,AQI,AQI Level,Temperature,Humidity,Soil Moisture,Soil Moisture Category,pH,Turbidity
2026-03-01,SN-001,Batangas,13.77241,121.02809,1422.75,234.39,245.61,23.85,23.44,131,Unhealthy for Sensitive Groups,24.03,41.59,55.62,Wet,7.34,10.88
2026-03-01,SN-002,Metro Manila,14.56538,120.92161,2823.25,135.25,17.89,56.28,52.58,65,Moderate,33.42,47.51,50.08,Wet,6.81,57.26
2026-03-01,SN-003,Pampanga,15.1761,120.59747,2837.28,98.61,264.33,60.24,21.72,111,Unhealthy for Sensitive Groups,21.42,82.76,14.79,Dry,7.94,58.04
2026-03-01,SN-004,Bulacan,14.84333,120.84052,3284.93,245.55,275.24,155.92,91.85,192,Unhealthy,31.97,52.07,29.27,Optimal,6.64,33.19
2026-03-01,SN-005,Pampanga,15.16884,120.55406,2428.24,226.58,281.83,30.59,57.66,149,Unhealthy for Sensitive Groups,26.86,69.71,30.61,Optimal,6.87,18.19
2026-03-01,SN-006,Pampanga,15.15867,120.53867,2793.75,107.35,171.04,41.43,103.36,105,Unhealthy for Sensitive Groups,39.91,91.37,10.41,Dry,7.95,99.5
2026-03-01,SN-007,Pampanga,15.16475,120.66711,2563.1,221.98,278.9,49.73,83.91,158,Unhealthy,34.78,71.8,22.17,Optimal,6.11,97.97
2026-03-01,SN-008,Leyte,11.04576,124.75037,3904.92,228.93,17.26,116.53,17.98,95,Moderate,39.36,81.53,8.02,Dry,8.35,78.49
2026-03-01,SN-009,Leyte,10.9368,124.89435,2087.87,174.94,111.73,94.83,127.19,127,Unhealthy for Sensitive Groups,36.15,51.02,27.61,Optimal,6.55,8.75
2026-03-01,SN-010,Cebu,10.28412,123.80402,1319.57,209.97,256.12,44.87,64.73,143,Unhealthy for Sensitive Groups,24.1,84.19,7.07,Dry,8.07,5.39
2026-03-01,SN-011,Iloilo,10.63519,122.61273,3969.19,46.34,235.12,33.96,4.24,79,Moderate,32.68,75.61,42.55,Wet,6.31,15.23
2026-03-01,SN-012,Cebu,10.34147,123.88109,839.61,94.56,21.27,134.12,121.62,92,Moderate,35.15,46.81,56.09,Wet,7.67,72.1
2026-03-01,SN-013,Leyte,11.04218,124.81838,3511.77,218.59,234.52,45.24,47.3,136,Unhealthy for Sensitive Groups,37.33,53.98,29.65,Optimal,6.49,15.59
2026-03-01,SN-014,Iloilo,10.65425,122.63047,1006.48,190.22,192.16,21.17,86.45,122,Unhealthy for Sensitive Groups,21.33,89.36,54.52,Wet,7.24,45.98
2026-03-01,SN-015,Misamis Oriental,8.42668,124.57912,1855.45,242.02,28.64,169.17,145.09,146,Unhealthy for Sensitive Groups,38.18,46.19,27.17,Optimal,6.61,88.51
2026-03-01,SN-016,Davao del Sur,7.15227,125.47642,1313.66,54.0,9.99,182.96,120.54,91,Moderate,21.13,51.97,28.32,Optimal,6.22,15.78
2026-03-01,SN-017,Zamboanga del Sur,7.86636,123.42655,2204.32,64.21,207.76,36.34,149.99,114,Unhealthy for Sensitive Groups,22.83,44.8,42.92,Wet,6.39,71.91
2026-03-01,SN-018,Misamis Oriental,8.50377,124.61878,685.27,136.98,267.62,92.08,57.7,138,Unhealthy for Sensitive Groups,20.47,82.64,17.86,Dry,6.32,45.62
2026-03-01,SN-019,Davao del Sur,7.28627,125.36913,4353.77,65.39,190.79,2.18,48.02,76,Moderate,31.6,63.91,45.8,Wet,7.58,25.69
2026-03-01,SN-020,Davao del Sur,7.27648,125.39227,2966.89,48.4,125.63,98.86,145.87,104,Unhealthy for Sensitive Groups,33.31,71.16,50.68,Wet,8.02,27.19
2026-03-02,SN-001,Batangas,13.77241,121.02809,4470.52,246.09,127.24,6.89,139.35,129,Unhealthy for Sensitive Groups,32.12,67.27,47.73,Wet,7.96,1.53
2026-03-02,SN-002,Metro Manila,14.56538,120.92161,3195.03,9.33,159.53,162.65,86.6,104,Unhealthy for Sensitive Groups,38.15,75.41,30.32,Optimal,6.94,16.09
2026-03-02,SN-003,Pampanga,15.1761,120.59747,1301.62,49.45,290.1,126.55,37.08,125,Unhealthy for Sensitive Groups,32.95,50.69,31.37,Optimal,6.19,84.46
2026-03-02,SN-004,Bulacan,14.84333,120.84052,998.42,7.9,94.69,180.82,118.39,100,Moderate,20.42,93.97,6.31,Dry,7.64,73.68
2026-03-02,SN-005,Pampanga,15.16884,120.55406,3798.47,249.28,220.77,131.5,94.85,174,Unhealthy,37.11,98.85,7.0,Dry,6.29,76.13
2026-03-02,SN-006,Pampanga,15.15867,120.53867,4991.46,27.42,272.7,100.24,35.68,109,Unhealthy for Sensitive Groups,36.6,63.39,35.01,Optimal,6.56,8.45
